,Year,Sea Level Rise [m] (1961-1990),Sea Level Rate [m/yr] (1961-1990)
1,1880,-0.164784459,0.001566364
2,1881,-0.163218095,0.001686514
3,1882,-0.161531581,0.001641645
4,1883,-0.159889937,0.001596775
5,1884,-0.158293162,0.001477125
6,1885,-0.156816037,0.001507037
7,1886,-0.155309,0.001521994
8,1887,-0.153787006,0.001417299
9,1888,-0.152369707,0.001596775
10,1889,-0.150772931,0.001746339
11,1890,-0.149026592,0.001402343
12,1891,-0.147624249,0.001507037
13,1892,-0.146117212,0.001432256
14,1893,-0.144684957,0.00137243
15,1894,-0.143312526,0.001417299
16,1895,-0.141895227,0.001521994
17,1896,-0.140373234,0.001626688
18,1897,-0.138746545,0.001626688
19,1898,-0.137119857,0.001432256
20,1899,-0.135687602,0.001596775
21,1900,-0.134090826,0.001671557
22,1901,-0.132419269,0.001596775
23,1902,-0.130822494,0.001447212
24,1903,-0.129375282,0.001357474
25,1904,-0.128017808,0.001237823
26,1905,-0.126779985,0.001447212
27,1906,-0.125332773,0.001507037
28,1907,-0.123825736,0.001267736
29,1908,-0.122558,0.001252779
30,1909,-0.121305221,0.001192954
31,1910,-0.120112267,0.00120791
32,1911,-0.118904357,0.001237823
33,1912,-0.117666534,0.001282692
34,1913,-0.116383842,0.001312605
35,1914,-0.115071237,0.001551906
36,1915,-0.11351933,0.001656601
37,1916,-0.11186273,0.001357474
38,1917,-0.110505256,0.001237823
39,1918,-0.109267433,0.001432256
40,1919,-0.107835177,0.001462168
41,1920,-0.106373009,0.001492081
42,1921,-0.104880928,0.001596775
43,1922,-0.103284153,0.001462168
44,1923,-0.101821984,0.001507037
45,1924,-0.100314947,0.00153695
46,1925,-0.098777997,0.001566863
47,1926,-0.097211134,0.001746339
48,1927,-0.095464795,0.001611732
49,1928,-0.093853063,0.001656601
50,1929,-0.092196463,0.001432256
51,1930,-0.090764207,0.001716426
52,1931,-0.089047781,0.001791208
53,1932,-0.087256573,0.001746339
54,1933,-0.085510234,0.001521994
55,1934,-0.08398824,0.001761295
56,1935,-0.082226945,0.001671557
57,1936,-0.080555388,0.001746339
58,1937,-0.078809049,0.001940772
59,1938,-0.076868277,0.001985641
60,1939,-0.074882636,0.001910859
61,1940,-0.072971778,0.002000597
62,1941,-0.070971181,0.002015553
63,1942,-0.068955627,0.001985641
64,1943,-0.066969987,0.001985641
65,1944,-0.064984346,0.002105291
66,1945,-0.062879054,0.001910859
67,1946,-0.060968196,0.001791208
68,1947,-0.059176988,0.001836077
69,1948,-0.05734091,0.001746339
70,1949,-0.055594572,0.001731383
71,1950,-0.053863189,0.001626688
72,1951,-0.052236501,0.001806164
73,1952,-0.050430336,0.001925815
74,1953,-0.048504521,0.00203051
75,1954,-0.046474011,0.001731383
76,1955,-0.044742629,0.001716426
77,1956,-0.043026203,0.001641645
78,1957,-0.041384558,0.001955728
79,1958,-0.03942883,0.001985641
80,1959,-0.037443189,0.001955728
81,1960,-0.035487462,0.001851033
82,1961,-0.033636428,0.002000597
83,1962,-0.031635831,0.001970684
84,1963,-0.029665147,0.00203051
85,1964,-0.027634637,0.001611732
86,1965,-0.026022905,0.001761295
87,1966,-0.02426161,0.001851033
88,1967,-0.022410577,0.001895903
89,1968,-0.020514674,0.001836077
90,1969,-0.018678597,0.002000597
91,1970,-0.016678,0.001970684
92,1971,-0.014707316,0.001821121
93,1972,-0.012886195,0.001940772
94,1973,-0.010945423,0.002150161
95,1974,-0.008795263,0.001806164
96,1975,-0.006989099,0.001895903
97,1976,-0.005093196,0.001731383
98,1977,-0.003361813,0.002135204
99,1978,-0.001226609,0.001985641
100,1979,0.000759031,0.002090335
101,1980,0.002849367,0.002254855
102,1981,0.005104222,0.002329637
103,1982,0.007433858,0.002045466
104,1983,0.009479324,0.00231468
105,1984,0.011794005,0.002090335
106,1985,0.01388434,0.00203051
107,1986,0.01591485,0.002120248
108,1987,0.018035097,0.002329637
109,1988,0.020364734,0.002434331
110,1989,0.022799065,0.002269811
111,1990,0.025068877,0.002494157
112,1991,0.027563033,0.0024792
113,1992,0.030042234,0.00219503
114,1993,0.032237263,0.002224942
115,1994,0.034462205,0.002329637
116,1995,0.036791842,0.002553982
117,1996,0.039345824,0.002389462
118,1997,0.041735286,0.002583895
119,1998,0.044319181,0.002823196
120,1999,0.047142378,0.002509113
121,2000,0.049651491,0.002509113
122,2001,0.052160604,0.002688589
123,2002,0.054849193,0.002823196
124,2003,0.057672389,0.00280824
125,2004,0.060480629,0.002673633
126,2005,0.063154262,0.002883022
127,2006,0.066037284,0.002793284
128,2007,0.068830568,0.002838153
129,2008,0.07166872,0.00264372
130,2009,0.074312441,0.002793284
131,2010,0.077105724,0.002897978
132,2011,0.080003703,0.002733458
133,2012,0.082737161,0.002763371
134,2013,0.085500532,0.00280824
135,2014,0.088308772,0.002912935
136,2015,0.091221706,0.003140914
137,2016,0.094362621,0.003142831
138,2017,0.097505452,0.003314313
139,2018,0.100819765,0.003251508
140,2019,0.104071272,0.003387433
141,2020,0.107458706,0.003227408
142,2021,0.110686114,0.003499898
143,2022,0.114186011,0.003637603
144,2023,0.117823615,0.003467537
145,2024,0.121291152,0.003736832
146,2025,0.125027983,0.003549101
147,2026,0.128577084,0.003680919
148,2027,0.132258003,0.003639338
149,2028,0.135897341,0.003672201
150,2029,0.139569541,0.003999508
151,2030,0.143569049,0.004009276
152,2031,0.147578325,0.004042549
153,2032,0.151620874,0.004113662
