# GISS Global Land-ocean temperature index in 0.01 degrees Celsius base period 1961-1990,,,,,,,,,
Year,AnnMeantemps (1951-1980),absolute global mean estimate for 1951-1980[C],Absolute annual temperatures,absolute global mean estmate for 1961-1990 period,AnnMeantemps (1961-1990),AnnMeantemps (1961-1990)*0.01,YEAR,CNRM RCPtemps,GISS historic & CNRM RCP8.5 temps
1880,-23,14,-9,22.6,-31.6,-0.316333333,1880,-0.125996704,-0.316333333
1881,-15,14,-1,22.6,-23.6,-0.236,1881,-0.185231323,-0.236
1882,-18,14,-4,22.6,-26.6,-0.266,1882,0.016642456,-0.266
1883,-21,14,-7,22.6,-29.6,-0.296,1883,-0.34001648,-0.296
1884,-29,14,-15,22.6,-37.6,-0.376,1884,-0.856587524,-0.376
1885,-27,14,-13,22.6,-35.6,-0.356,1885,-0.67329895,-0.356
1886,-26,14,-12,22.6,-34.6,-0.346,1886,-0.58257019,-0.346
1887,-33,14,-19,22.6,-41.6,-0.416,1887,-0.318776245,-0.416
1888,-21,14,-7,22.6,-29.6,-0.296,1888,-0.207539673,-0.296
1889,-11,14,3,22.6,-19.6,-0.196,1889,-0.207875366,-0.196
1890,-34,14,-20,22.6,-42.6,-0.426,1890,-0.338795776,-0.426
1891,-27,14,-13,22.6,-35.6,-0.356,1891,-0.388783569,-0.356
1892,-32,14,-18,22.6,-40.6,-0.406,1892,-0.201893921,-0.406
1893,-36,14,-22,22.6,-44.6,-0.446,1893,-0.010182495,-0.446
1894,-33,14,-19,22.6,-41.6,-0.416,1894,-0.181416626,-0.416
1895,-26,14,-12,22.6,-34.6,-0.346,1895,-0.147877808,-0.346
1896,-19,14,-5,22.6,-27.6,-0.276,1896,-0.002125855,-0.276
1897,-19,14,-5,22.6,-27.6,-0.276,1897,0.005991821,-0.276
1898,-32,14,-18,22.6,-40.6,-0.406,1898,-0.008687134,-0.406
1899,-21,14,-7,22.6,-29.6,-0.296,1899,0.100870972,-0.296
1900,-16,14,-2,22.6,-24.6,-0.246,1900,0.090617065,-0.246
1901,-21,14,-7,22.6,-29.6,-0.296,1901,0.102549439,-0.296
1902,-31,14,-17,22.6,-39.6,-0.396,1902,0.138163452,-0.396
1903,-37,14,-23,22.6,-45.6,-0.456,1903,-0.166401978,-0.456
1904,-45,14,-31,22.6,-53.6,-0.536,1904,-0.176289673,-0.536
1905,-31,14,-17,22.6,-39.6,-0.396,1905,-0.195149536,-0.396
1906,-27,14,-13,22.6,-35.6,-0.356,1906,-0.225178833,-0.356
